Hire ID,Family,Role,Tier,Recruit Method,Camp Requirement,Unlocked By,Behavior,Starting Stats,Counts Against,Notes
hire_woodcutter,Harvester,Woodcutter,1,"Dialog with any wandering NPC near a forest. Mention you have an axe and a camp. Charisma check (DC 8).","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_logging_camp.",township.buildings.2,"Walks to nearest assigned tree node within 80m of camp; chops; deposits wood_log into nearest storage chest; idles in lumber camp.",60 hp / no combat,recruit cap,Most common roadside NPC. Gives +5 wood_log/day baseline; doubles if 2 trees within range.
hire_miner,Harvester,Miner,1,"Dialog with NPC near a rock outcrop or in a mining camp. Show pickaxe in inventory. Charisma DC 8.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_mining_outpost.",township.buildings.3,Patrols ore vein nodes within build_mining_outpost radius; mines on cooldown; deposits to nearest chest.,60 hp / no combat,recruit cap,+5 iron_ore/day; +1 copper_ore on lucky tick.
hire_farmer,Harvester,Farmer,1,"Dialog with NPC near tilled soil or a ruined village. Charisma DC 8.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_field.",township.buildings.4,Tends herb planters / fields; harvests on grow tick; deposits to nearest chest.,60 hp / no combat,recruit cap,+5 herb_common/day; small chance of herb_rare.
hire_trapper,Harvester,Trapper,2,"Dialog with hunter NPC. Survival check (DC 10) or already have hunting.trapping.3.","1 personal tent + shared campfire + shared storage crate + claim flag in radius.",hunting.trapping.3,Resets player-placed snares; gathers carcasses into chest.,80 hp / weak combat,recruit cap,Cross-profession unlock (Hunting branch). Halves player trap upkeep time.
hire_forager,Harvester,Forager,1,"Dialog with NPC gathering wild plants. Charisma DC 7.","1 personal tent + shared campfire + shared storage crate + claim flag in radius.",gathering.forestry.2,Collects scrub berries / mushrooms within camp radius.,60 hp / no combat,recruit cap,Cross-profession unlock (Gathering branch). +3 herb_common/day + small food yield.
hire_stall_vendor,Vendor,Stall Vendor,1,"Dialog with traveling merchant. Charisma DC 9. Show 50 gold of inventory.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus a built market stall.",township.trade.1,"Mans build_market_stall; auto-sells items flagged 'sell-junk' from stall chest at end of day.",40 hp / no combat,recruit cap,Required to man any market stall. Without a vendor stalls are decorative only.
hire_caravan_master,Vendor,Caravan Master,2,"Dialog with caravan NPC at a trade post. Reputation neutral or better with at least one faction. Charisma DC 11.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_caravan_cart.",township.trade.2,"Drives build_caravan_cart between trade posts; converts excess stockpile into gold (passive route).",80 hp / weak combat,recruit cap,Required for trade_post passive gold to actually flow. Routes set in town menu.
hire_fence,Vendor,Fence,3,"Dialog only after committing 3+ theft acts visible to the Fence. No charisma check — they find YOU.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_market_complex.",township.trade.3,Mans Black Market stall; buys stolen / contraband items at +50% over normal vendor price.,60 hp / no combat,recruit cap,Required for theft loot to be salable. Spawns only after build_market_complex.
hire_bazaar_merchant,Vendor,Bazaar Merchant,4,"Dialog at any active Grand Bazaar. Reputation friendly with a major faction. Charisma DC 13.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_grand_bazaar.",township.trade.4,Mans a Grand Bazaar slot; offers rotating rare-goods inventory daily; takes consignments.,80 hp / weak combat,recruit cap,3 slots per build_grand_bazaar.
hire_sentry,Ally Fighter,Sentry,1,"Dialog with armed wanderer. Combat check (DC 8) or show a ranged weapon equipped.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_watchtower.",township.defenses.1,Mans build_watchtower; pings minimap on hostile detection; fires basic crossbow.,120 hp / pistol-tier ranged,recruit cap,One sentry per watchtower.
hire_gate_guard,Ally Fighter,Gate Guard,2,"Dialog with mercenary NPC at a settlement. Resolve check (DC 10).","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_gate_iron or build_palisade.",township.defenses.2,Patrols build_gate_iron / build_palisade segments; engages anything hostile that crosses.,200 hp / blade-tier melee,recruit cap,Two-pack hire (pair) — each one needs their own tent.
hire_gunner,Ally Fighter,Turret Gunner,3,"Dialog with veteran fighter at a faction outpost. Combat DC 12 or already crafted a turret.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_turret_basic or heavy.",township.defenses.3,Mans build_turret_basic / heavy; +30% turret accuracy and +20% fire rate while assigned.,150 hp / rifle-tier ranged,recruit cap,One gunner per turret. Without a gunner turrets fire at base accuracy.
hire_mercenary,Ally Fighter,Mercenary,2,"Dialog with armed wanderer. Charisma DC 10 + Resolve DC 8. Reputation neutral or better.","1 personal tent + shared campfire + shared storage crate + claim flag in radius.",township.leadership.2,Follows player as party companion (party slot); fights alongside; uses equipped loadout.,250 hp / blade or rifle (loadout),follower slot,Party follower — does NOT count against recruit cap; counts against follower slots from Leadership.
hire_captain,Ally Fighter,Captain,4,"Dialog only after slaying a named enemy captain or completing a faction war contract. Resolve DC 14.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus a Fortress (defenses.4).",township.defenses.4,"Elite party companion; commands up to 3 NPC squad members in fortress defense; rallies morale +10% in radius.",500 hp / hammer-tier mixed,follower slot,Captain leads a 3-NPC squad that mans build_keep_gate. Each squad member needs a tent.
hire_diplomat,Ally Fighter,Diplomat Envoy,3,"Dialog with faction NPC. Reputation friendly with at least one faction. Charisma DC 12.","1 personal tent + shared campfire + shared storage crate + claim flag in radius. Plus build_embassy.",township.diplomacy.3,Stationed in build_embassy; passively raises faction reputation +1/day for that faction.,80 hp / weak combat,recruit cap,One per embassy. Required for faction gift caravans (diplomacy.4).
